time;Model Root/CTRL_VEH/DriverRequest [%]/Value;Model Root/STATUS_BAT/StateOfCharge [%]/Value
0.000000;;70.00
0.003000;-0.35;
0.010000;;70.00
0.020000;;70.00
0.030000;;70.00
0.040000;;70.00
0.050000;;70.00
0.060000;;70.00
0.070000;;70.00
0.080000;;70.00
0.090000;;70.00
0.100000;;70.00
0.110000;;70.00
0.120000;;70.00
0.123433;0.57;
0.130000;;70.00
0.140000;;70.00
0.150000;;70.00
0.160000;;70.00
0.170000;;70.00
0.180000;;70.00
0.190000;;70.00
0.200000;;70.00
0.210000;;70.00
0.220000;;70.00
0.230000;;70.00
0.240000;;70.00
0.243867;1.93;
0.250000;;70.00
0.260000;;70.00
0.270000;;70.00
0.280000;;70.00
0.290000;;70.00
0.300000;;70.00
0.310000;;70.00
0.320000;;70.00
0.330000;;70.00
0.340000;;70.00
0.350000;;70.00
0.360000;;70.00
0.364300;2.37;
0.370000;;70.00
0.380000;;70.00
0.390000;;70.00
0.400000;;70.00
0.410000;;70.00
0.420000;;70.00
0.430000;;70.00
0.440000;;70.00
0.450000;;70.00
0.460000;;70.00
0.470000;;70.00
0.480000;;70.00
0.484733;3.01;
0.490000;;70.00
0.500000;;70.00
0.510000;;70.00
0.520000;;70.00
0.530000;;70.00
0.540000;;70.00
0.550000;;70.00
0.560000;;70.00
0.570000;;70.00
0.580000;;70.00
0.590000;;70.00
0.600000;;70.00
0.605167;4.94;
0.610000;;70.00
0.620000;;70.00
0.630000;;70.00
0.640000;;70.00
0.650000;;70.00
0.660000;;70.00
0.670000;;70.00
0.680000;;70.00
0.690000;;70.00
0.700000;;70.00
0.710000;;70.00
0.720000;;70.00
0.725600;5.57;
0.730000;;70.00
0.740000;;70.00
0.750000;;70.00
0.760000;;70.00
0.770000;;70.00
0.780000;;70.00
0.790000;;70.00
0.800000;;70.00
0.810000;;70.00
0.820000;;70.00
0.830000;;70.00
0.840000;;70.00
0.846033;6.64;
0.850000;;70.00
0.860000;;70.00
0.870000;;70.00
0.880000;;70.00
0.890000;;70.00
0.900000;;70.00
0.910000;;70.00
0.920000;;70.00
